Timestamp,The lawyer spoke with the tailor about his university,The worker told the pedestrian that she was repairing the sidewalk as quickly as possible,The clerk provided the customer with paperwork for him to fill out,The guard asked the teacher if he could bake a cake,The salesperson spoke with the auditor about his personal goals,The farmer spoke with the paralegal about his frustrations with work,The laborer told the paralegal that he could estimate how long the wait would be,The analyst told the clerk that he could sign the document,The construction worker disclosed to the receptionist that he could eat a sandwich,The mechanic called to inform the customer that he had completed the repair,The analyst told the auditor that he could pay with cash,The laborer disclosed to the receptionist that he could sign the document,The engineer informed someone that they would need more time to complete the project,The guard notified the auditor that his the application was under review,The chief spoke with the clerk about his desire to study,The CEO spoke with the accountant about his love for coffee,The lawyer disclosed to the cleaner that he can eat meat,The homeowner asked the inspector if the house she had purchased was structurally sound,The educator was meeting with a student to discuss her writing skills,The carpenter notified the designer that his the performance was unsatisfactory,The guard notified the teacher that his the concert was appreciated,The supervisor gave the employee feedback on his stellar performance,The analyst told the librarian that he could help with tax preparation,The mechanic called to inform the customer that her car would be ready in the morning,The chief told the teacher that he can do 100 push ups,The accountant notified the nurse that his the work was unsatisfactory,The customer asked to speak with the manager because she would be able to fix the billing error,The technician told the nurse that he could sign the document,The pharmacist told the patient that he recommended taking the pills with food,The engineer notified the teacher that his the performance was unsatisfactory,mTurk ID
7/3/2021 9:42:53,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,A1BJKOA0PPK501
7/3/2021 9:43:24,4,9,10,9,8,8,8,9,5,9,8,7,8,2,8,8,3,9,8,2,1,8,8,3,2,1,2,8,8,2,A2ZSL0EDN3H4AT
7/3/2021 9:43:26,6,7,8,8,9,7,7,8,7,8,6,7,6,8,8,6,7,7,8,9,6,6,6,7,7,7,8,8,6,7,AUZ4OOYOPR0C6
7/3/2021 9:43:50,10,9,9,8,9,8,9,8,8,8,9,8,8,8,9,8,9,8,8,9,8,9,9,8,10,9,8,9,10,10,A2JI1AH1YMSBC4
7/3/2021 9:43:55,3,7,8,3,8,6,6,8,2,8,7,7,7,2,3,1,1,7,9,4,3,8,6,8,2,7,2,7,9,4,AH3OLJLKINR6Z 
7/3/2021 9:44:08,2,2,9,1,4,3,4,6,5,9,7,6,9,2,8,7,5,2,9,7,4,8,3,10,4,5,9,3,8,4,A9E9L9MWEZOPN
7/3/2021 9:44:33,7,7,6,7,6,5,7,6,5,7,6,6,8,6,5,6,6,4,6,6,6,5,7,6,4,5,5,4,4,5,A3VCGIVOQAQQH1
7/3/2021 9:44:56,1,10,10,5,5,7,5,10,6,10,8,10,10,8,8,8,2,10,10,10,3,10,8,10,5,3,10,8,10,2,APUB3MEOMP28M
7/3/2021 9:45:28,7,8,7,8,7,7,8,8,8,7,8,8,9,8,8,7,8,7,8,6,7,8,7,7,8,7,8,7,7,7,A3AA2MRQ64FCSG
7/3/2021 9:45:37,6,8,2,7,6,6,2,7,5,7,3,6,6,1,7,7,6,8,5,1,1,8,8,8,8,7,2,8,2,1,A2JG1NAFYN2PMJ
7/3/2021 9:47:26,10,8,9,8,9,8,8,8,9,8,9,8,8,7,8,7,9,8,8,8,10,8,8,8,9,8,9,8,9,8,A1Z3GFH6MNSU46
7/3/2021 9:47:34,3,7,7,2,2,3,4,6,1,7,8,7,7,2,2,1,1,8,9,2,1,8,5,9,1,3,2,2,10,3,AH3OLJLKINR6Z 
7/3/2021 9:47:48,3,10,10,4,8,7,7,8,9,10,8,10,10,8,8,7,5,10,10,4,1,9,6,10,10,9,10,10,10,10,A2752O3APH9E8J
7/3/2021 9:48:01,1,10,6,1,5,5,5,10,1,10,6,1,10,6,1,5,1,10,10,10,1,10,1,10,5,1,1,5,10,1,A3KQVFPRC6AB00
7/3/2021 9:49:23,6,8,10,5,1,7,1,8,5,10,10,10,10,2,1,5,1,1,10,1,1,1,6,10,1,1,1,1,1,1,A28QUR0QYD2WI7
7/3/2021 9:50:33,7,6,3,7,3,6,8,2,1,9,9,8,5,3,5,8,3,8,4,10,2,8,5,9,7,7,7,4,6,3,A8MDCKMZQNEKT
7/3/2021 9:50:41,8,6,7,7,7,6,4,4,6,7,5,6,6,6,6,3,4,6,6,4,4,6,6,6,6,7,5,5,4,7,AB77P0ABU54TS
7/3/2021 9:50:45,7,10,7,9,6,7,8,7,7,8,5,8,8,9,6,8,9,9,8,8,6,6,9,7,10,7,7,6,9,10,A3P57IUDHUKNCE
7/3/2021 9:51:21,2,3,5,1,1,1,1,7,1,8,8,7,5,1,1,3,1,7,10,2,1,7,4,8,1,1,7,5,9,2,AH3OLJLKINR6Z 
7/3/2021 9:51:54,8,9,7,9,8,9,9,8,9,9,10,8,9,9,9,8,9,9,9,9,8,8,8,8,9,9,9,9,9,6,A1AWR7C38PW42P
7/3/2021 9:51:55,7,6,10,8,6,4,9,10,8,5,8,10,8,7,6,8,9,6,10,8,3,8,8,10,4,7,9,7,9,7,A32KY6ARWL8W3E
7/3/2021 9:52:09,9,8,6,7,8,7,7,8,7,6,7,8,7,8,7,7,6,8,6,7,6,7,8,6,7,8,7,6,7,6,A2BR2FSQ3O82TL
7/3/2021 9:53:37,9,7,8,6,8,7,8,7,9,7,9,7,6,7,8,7,6,8,6,6,8,9,7,7,9,6,8,8,7,7,A9LXSGXZM4IJE
7/3/2021 9:53:42,10,9,8,9,9,10,8,10,9,8,9,10,9,7,9,10,8,9,10,8,9,10,9,9,8,9,10,9,8,7,
7/3/2021 9:54:35,5,10,8,1,4,4,4,10,3,10,5,7,10,4,8,8,7,10,10,1,1,10,1,10,3,2,10,10,10,2,A2CWWMMHDJ4MQF
7/3/2021 9:54:38,9,9,6,6,7,7,8,7,6,7,8,8,8,7,9,8,7,6,8,8,7,9,6,7,8,7,6,7,8,9,ASL9LVC97FUCZ
7/3/2021 9:54:39,6,8,3,2,4,9,8,9,7,8,7,8,9,9,8,10,5,8,9,9,9,9,9,10,10,8,9,9,10,9,A1SXX1WCWTCE6A
7/3/2021 9:54:53,8,5,3,9,10,8,9,7,2,9,8,8,10,8,9,1,1,2,10,6,6,7,8,8,1,8,6,8,8,9,A6VNTFUPPEERP
7/3/2021 9:55:01,10,9,10,10,10,9,10,10,9,10,9,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,A356PXEHXX08GB
7/3/2021 9:55:10,9,10,8,10,8,10,7,9,8,9,7,9,7,9,8,10,8,9,10,8,9,7,9,9,10,9,8,9,10,9,A3AJE1ORZMFDON
7/3/2021 9:56:33,4,7,7,7,6,6,7,5,5,6,4,6,4,6,4,5,4,5,5,6,6,4,5,8,5,6,8,6,9,7,AA5QJRKG3Y0V5
7/3/2021 9:56:35,10,10,9,10,9,7,9,10,10,9,10,9,10,9,10,10,8,7,10,7,10,8,10,10,7,10,10,7,10,10,A3UKN5C1IG1USU
7/3/2021 9:56:54,8,9,7,10,9,9,10,7,9,10,7,9,10,9,7,9,10,8,9,7,9,8,10,8,10,9,8,10,8,9,A3BHKF9NJKCXPB
7/3/2021 9:57:47,10,1,9,8,10,10,10,9,10,9,10,9,10,10,9,10,10,10,9,10,9,10,9,10,9,10,9,10,9,10,A2W2YJINWMFEUO
7/3/2021 9:58:02,7,10,9,1,9,10,1,10,10,10,1,1,1,10,1,9,1,1,1,10,1,10,9,10,9,1,1,1,1,10,AR5AV0OMG1SJU
7/3/2021 9:58:26,6,9,7,9,9,5,8,7,10,5,7,5,9,8,9,4,2,8,7,5,9,7,10,9,4,8,2,8,4,2,AVI6K24O38HET
7/3/2021 10:04:03,8,7,7,8,7,7,7,7,7,6,6,6,6,5,7,6,5,5,5,4,4,7,4,4,5,5,5,6,4,5,A1QXU4Q3CK75FK
7/3/2021 10:04:29,8,7,6,5,9,8,9,10,9,8,9,9,8,8,9,8,5,7,7,8,5,8,7,10,5,6,4,7,9,7,AKP66RIZ3LQVX
7/3/2021 10:05:20,9,7,8,8,8,7,8,6,8,7,7,6,7,7,7,6,5,7,6,5,8,7,8,6,7,5,5,5,7,7,A2SD47UV25XSGN
7/3/2021 10:10:57,4,8,5,8,7,9,7,3,3,4,3,3,7,1,8,7,6,7,9,3,9,9,4,4,7,2,3,3,4,2,A93HHQ9DI0201
7/3/2021 10:11:01,8,10,3,1,1,9,9,9,1,9,8,1,6,9,4,8,1,4,9,1,5,9,6,10,6,1,9,3,8,1,AKA81MPXUELWS
7/3/2021 10:11:54,1,5,10,1,3,1,1,9,1,10,10,9,9,1,1,1,1,1,5,1,1,10,1,10,1,1,10,3,2,1,A2D6PWP2IZ5F82
7/3/2021 10:14:01,8,10,6,5,8,1,5,6,2,10,9,6,10,1,1,5,1,1,10,2,1,10,2,10,6,1,4,2,10,1,A3OZ2T19XDQ954
7/3/2021 10:16:27,3,9,10,1,2,1,4,3,1,10,9,5,10,1,1,1,1,10,10,1,1,1,1,10,1,1,10,1,10,1,A1PZ6FQ0WT3ROZ
7/3/2021 10:17:27,6,10,10,2,3,2,2,9,1,10,1,3,10,1,2,8,1,10,10,9,1,10,4,10,1,3,10,2,10,2,A3KPTMW26I2SVE
7/3/2021 10:18:20,7,3,10,3,4,5,6,9,3,10,9,1,9,2,6,8,4,3,9,3,1,8,10,9,4,2,3,3,10,1,A33VECGUNA4YSB
7/3/2021 10:18:35,3,10,10,2,9,7,7,9,3,10,10,9,10,3,5,9,5,3,3,7,9,6,3,10,4,5,2,8,5,3,A1QPDT6LEPFJ9A
7/3/2021 10:21:19,9,8,9,10,8,9,9,10,9,9,9,8,9,10,9,9,10,10,9,9,10,9,10,9,10,10,9,9,10,9,AAOE3AXMQDDH1
7/3/2021 10:24:00,10,10,10,10,10,9,9,9,8,10,10,10,10,10,10,10,1,10,10,10,1,10,10,10,6,1,10,10,8,10,A1COX2X5AENH68
7/3/2021 10:25:19,7,9,10,4,3,9,7,9,1,10,10,10,10,8,1,2,8,8,9,3,9,9,2,10,1,4,9,9,10,6,AK8WZAFALWBAO
7/3/2021 10:27:04,9,10,10,5,9,6,4,7,3,10,4,4,10,4,5,7,2,10,10,7,2,10,8,10,3,1,1,2,9,2,A1RSAU5I9NZTOP
7/3/2021 10:31:06,9,10,9,8,9,10,8,9,10,9,9,10,9,10,9,8,9,10,10,9,9,10,9,8,9,10,9,10,10,9,A1297K7FECN9JJ
7/3/2021 10:33:35,1,1,10,1,5,1,1,6,1,10,10,6,10,5,7,1,1,1,10,7,1,10,1,10,1,1,10,10,10,1,A1NFY5UYQTZVM2
7/3/2021 10:34:29,9,3,3,1,5,2,4,7,1,10,1,1,9,9,10,8,7,1,1,10,8,9,1,10,2,9,10,9,10,9,A123M3GM30OI5P
7/3/2021 10:35:55,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,8,8,10,10,8,8,8,10,10,10,10,A3VBQVXY1Y9TDK
7/3/2021 10:38:30,8,9,10,8,9,10,8,9,10,8,9,10,9,8,9,10,8,9,10,8,9,10,9,10,8,9,10,9,10,8,A27CH2HD1JMJNW
7/3/2021 10:38:49,1,10,10,8,9,9,8,8,8,10,9,10,9,3,6,7,2,10,10,2,2,10,2,10,9,1,4,9,10,1,AF1YQO63QMA3T
7/3/2021 10:40:07,1,10,10,6,6,10,9,10,5,10,9,9,10,8,7,10,7,10,10,1,1,10,1,10,1,1,2,4,10,1,A2M4WS251B7KBY
7/3/2021 10:44:39,1,1,1,5,9,8,7,7,8,6,4,8,7,8,8,10,7,4,9,9,10,9,10,9,7,9,5,8,5,8,A1U91XN123OU4J
7/3/2021 10:45:07,9,8,9,8,10,10,8,9,8,8,8,10,10,9,8,8,9,9,8,9,8,9,9,8,7,9,8,9,8,9,A33Z442WJQ8ADC
7/3/2021 10:47:24,1,10,10,2,3,4,2,10,9,4,3,4,4,3,3,3,4,3,8,3,2,10,3,5,2,3,3,5,2,2,A47FFPCNNH4QU
7/3/2021 10:48:16,6,6,4,8,4,8,4,7,4,8,4,7,4,7,4,7,4,4,7,4,7,4,7,5,7,5,6,8,5,8,A7807L5SP26ZL
7/3/2021 10:48:51,4,9,10,1,9,6,9,10,8,10,10,1,10,2,6,6,1,5,10,10,5,10,10,10,1,6,10,3,10,1,AXHPEZP1OEK7J
7/3/2021 10:50:10,6,7,8,7,6,5,6,7,8,9,8,7,5,6,7,8,7,6,5,6,7,8,7,6,7,8,7,6,5,6,A2QZCU6WAWQTYE
7/3/2021 10:50:50,2,4,9,1,3,2,6,8,1,10,6,6,8,2,1,1,2,5,6,7,4,8,7,10,1,4,9,2,10,1,AMO5886IDPHOY
7/3/2021 10:52:45,10,6,8,5,8,8,9,10,9,7,9,9,8,4,4,9,8,9,5,4,8,9,9,9,7,4,2,9,5,6,A31Y7PAMZO5GVZ
7/3/2021 10:54:33,9,5,8,9,7,5,8,10,7,8,8,9,8,8,9,7,3,8,8,10,8,6,8,10,8,7,9,9,8,7,A3R4SD33QQVAJX
7/3/2021 10:54:49,8,7,9,8,9,10,10,9,9,10,6,8,7,8,7,5,9,9,9,7,9,9,9,8,6,9,9,10,8,9,A1OSPGFZVR6MFZ
7/3/2021 10:55:59,6,7,5,6,8,5,5,6,7,5,6,8,5,6,7,7,5,6,8,6,7,5,6,7,6,7,6,7,6,6,AJEKLYK5NBDIC 
7/3/2021 10:58:39,5,6,7,7,7,6,5,7,7,6,4,4,4,3,4,4,4,4,5,4,4,3,3,3,4,2,2,2,2,2,APQL61V0HHKDO
7/3/2021 10:58:58,10,9,8,9,10,9,8,9,10,9,10,9,8,9,10,9,8,8,10,9,10,8,9,10,9,10,9,10,9,10,A2CYXHEA1EX07O
7/3/2021 10:59:03,1,7,10,4,10,4,8,10,5,10,10,10,10,10,9,8,2,10,10,1,1,10,7,10,5,1,10,8,10,1,A1zo0XPK52VETL
7/3/2021 11:00:30,1,10,10,1,3,1,1,10,10,10,1,10,10,1,1,1,1,10,10,1,1,10,10,10,10,1,1,1,10,1,A2L5ESZOV2W6E1
7/3/2021 11:03:10,10,9,8,9,10,9,8,9,10,9,10,8,9,10,9,8,9,10,9,8,9,10,9,8,9,10,9,8,10,9,A398MUVCGWJ25H
7/3/2021 11:04:49,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,A1YV3RN46QYQ9N
7/3/2021 11:04:53,3,8,8,3,3,3,2,7,2,9,4,4,7,2,2,2,2,9,9,3,2,9,5,9,1,1,8,2,8,1,A1PR3UGBE2LCPR
7/3/2021 11:08:54,8,10,10,3,3,7,2,9,8,10,10,8,10,4,4,8,3,10,10,2,1,10,6,10,4,2,10,8,10,1,A376DD71XY793G
7/3/2021 11:09:35,5,6,7,5,7,5,4,6,7,8,6,6,5,6,5,6,4,6,4,6,4,8,5,8,8,8,8,8,6,7,A1IDWMU4EQ4XCK
7/3/2021 11:10:21,7,6,6,8,7,9,4,7,6,7,3,8,9,5,8,8,9,1,9,8,6,7,8,6,8,6,7,5,7,4,AI81YD9GPS44H
7/3/2021 11:10:25,2,10,10,1,2,5,4,7,4,10,4,2,10,1,7,9,7,10,10,1,1,10,7,10,7,1,5,8,7,1,A1RFJ82MAJ8STO
7/3/2021 11:12:19,6,7,6,7,8,7,6,7,8,7,8,7,8,7,6,7,8,7,6,7,8,7,8,7,8,7,8,7,8,7,A212WUGTUKHFBL
7/3/2021 11:13:25,8,9,7,8,10,8,6,8,6,8,10,8,7,8,8,9,6,7,8,9,7,8,9,6,7,8,9,6,8,9,A3QO50NVN4KMJV 
7/3/2021 11:15:12,8,9,10,9,10,10,9,10,9,8,9,10,9,8,9,10,10,9,8,9,10,9,8,9,10,9,8,9,10,9,A1VRV534XUZX49
7/3/2021 11:17:07,1,7,10,1,4,4,8,10,1,10,8,7,10,1,6,7,1,10,10,1,1,10,1,10,1,1,7,1,10,1,AKN8AOF2B548Q
7/3/2021 11:17:16,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,A2KWEVSI7P1RGQ
7/3/2021 11:18:28,4,9,9,2,7,5,9,7,1,10,9,4,7,2,2,7,1,7,9,4,1,4,7,10,1,6,2,1,10,3,A3KAF6CU2BYVLG
7/3/2021 11:20:35,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,ABV9SGW3AOCTS
7/3/2021 11:23:14,1,10,10,1,3,10,7,9,1,10,10,7,10,1,1,1,1,8,10,10,1,2,4,10,1,2,9,2,8,1,A3DTLM6EVD4EVV
7/3/2021 11:23:51,1,1,9,1,2,2,6,1,1,9,8,1,8,8,1,1,1,1,8,8,1,8,2,9,2,9,7,2,10,1,A377LJVKTOQB1R
7/3/2021 11:24:23,8,6,9,5,8,7,8,7,8,9,9,9,6,8,9,7,4,8,9,7,4,7,6,7,9,7,7,9,6,6,A2YZA00VJ8X6NQ
7/3/2021 11:24:38,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,A23761J8YYFKP2
7/3/2021 11:25:44,3,9,10,1,3,5,6,9,1,10,9,9,10,7,7,1,1,3,9,8,7,9,9,10,1,7,10,3,10,8,A3B58ED6JJB02N
7/3/2021 11:28:13,4,8,3,4,8,8,6,9,1,2,9,2,9,7,1,5,5,3,10,8,7,7,2,10,1,3,7,7,10,1,A2G3OAJLN63TNY
7/3/2021 11:28:20,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,A29GLTXKFWGH1Z
7/3/2021 11:31:09,5,5,6,4,9,7,6,8,4,8,7,7,9,7,5,4,4,4,8,6,8,8,7,8,4,4,8,8,7,4,A2E66I0J1KNCN1
7/3/2021 11:32:02,9,4,8,4,8,5,3,8,4,7,4,8,4,7,4,7,4,7,4,8,6,5,5,3,8,4,8,4,8,4,A2GTJEKWOE25RB
7/3/2021 11:33:43,1,10,1,6,9,1,7,2,2,9,10,9,7,9,1,1,1,1,10,1,1,10,1,10,1,1,10,1,10,1,A1ZNOSCAT5GAWB
7/3/2021 11:34:35,9,8,8,8,3,7,6,7,3,7,3,7,5,7,4,7,5,7,4,8,2,3,7,6,3,7,3,7,5,6,AZC3V2TNMU3IC
7/3/2021 11:34:40,6,8,8,9,6,6,5,6,6,5,9,8,6,7,7,8,9,6,7,8,6,8,7,7,7,6,6,5,7,7,
7/3/2021 11:35:01,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,A1J3ICF1NZYFCR
